S,Input_d,d_ref,vel_ref,Input_vel,vel_md,vel_mi,curva,fuzzyOut,VELpwm_out,Input_theta,direccion,thethaPWM_out,E
S,9.30,9.30,0.06,0.00,0.00,0.00,20.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.10,1.25,2.49,0.00,5.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.10,1.25,2.49,0.00,5.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
S,9.30,9.30,0.06,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,E
