;;;;;;;0
4;0;10,26;0;9,97;10;115,3;4
3;0;9,97;0;5,98;10;116,8;7
3;0;9,9;0;12,47;10;116,8;10
3;0;9,82;0;6,98;10;116,8;13
3;0;9,71;0;14,96;10;116,8;16
3;0;9,49;0;7,98;10;116,8;19
4;0;9,34;0;16,46;10;116,8;23
3;0;9,22;0;8,98;10;116,8;26
3;0;8,99;0;18,45;10;116,8;29
3;0;8,69;0;9,47;10;116,8;32
3;0;8,52;0;18,95;10;116,8;35
3;0;8,05;0;10,47;10;116,8;38
4;0;7,4;0;21,44;10;116,8;42
3;0;6,51;0;10,47;10;116,8;45
3;0;5,68;0;21,94;10;116,8;48
3;0;4,91;0;11,97;10;116,8;51
3;0;-7,99;0;15,46;10;103,4;54
3;0;-0,74;0;19,95;10;106,5;57
3;0;0,81;0;38,9;10;111;60
3;0;0,77;0;39,89;10;108,7;63
3;0;-0,21;0;41,39;10;84,8;66
3;0;0,26;0;18,95;10;82,1;69
4;0;0,22;0;38,4;10;82,1;73
3;0;0,22;0;19,45;10;82,1;76
3;0;0,3;0;38,9;10;82,1;79
4;0;0,16;0;38,9;10;76;83
3;0;0,2;0;18,45;10;76;86
3;0;0,25;0;37,9;10;76;89
3;0;0,25;0;19,45;10;76;92
3;0;0,19;0;39,89;10;76;95
3;0;0,2;0;17,95;10;76;98
3;0;0,18;0;38,4;10;76;101
3;0;0,24;0;19,95;10;76;104
4;0;0,3;0;40,39;10;76;108
3;0;0,32;0;20,45;10;76;111
3;0;0,22;0;40,89;10;76;114
3;0;0,21;0;20,45;10;76;117
3;0;0,32;0;40,39;10;76;120
3;0;0,21;0;19,45;10;76;123
3;0;0,21;0;39,39;10;76;126
3;0;0,18;0;18,95;10;76;129
4;0;0,31;0;38,4;10;76;133
3;0;0,17;0;19,95;10;76;136
3;0;0,17;0;39,39;10;76;139
3;0;0,22;0;19,95;10;76;142
3;0;0,22;0;39,89;10;76;145
3;0;0,27;0;19,95;10;76;148
3;0;0,21;0;39,89;10;76;151
3;0;0,22;0;19,95;10;76;154
4;0;0,2;0;39,89;10;76;158
3;0;0,19;0;18,95;10;76;161
3;0;0,22;0;39,89;10;76;164
3;0;0,28;0;19,45;10;76;167
3;0;0,26;0;38,9;10;76;170
3;0;0,22;0;19,45;10;73,4;173
3;0;0,19;0;39,39;10;73,4;176
3;0;0,33;0;19,45;10;73,4;179
4;0;0,27;0;39,39;10;73,4;183
3;0;0,21;0;20,45;10;73,4;186
3;0;0,25;0;40,39;10;73,4;189
3;0;0,25;0;19,95;10;73,4;192
3;0;0,23;0;39,89;10;73,4;195
3;0;0,44;0;19,95;10;73,4;198
3;0;0,31;0;39,89;10;73,4;201
3;0;0,2;0;19,45;10;73,4;204
3;0;0,26;0;19,95;10;73,4;207
3;0;0,22;0;39,39;10;73,4;210
3;0;0,31;0;18,95;10;73,4;213
3;0;0,29;0;38,9;10;73,4;216
3;0;0,23;0;20,45;10;73,4;219
3;0;0,37;0;39,89;10;73,4;222
3;0;0,21;0;20,45;10;73,4;225
4;0;0,35;0;40,39;10;73,4;229
3;0;0,22;0;19,95;10;73,4;232
3;0;0,3;0;39,89;10;73,4;235
3;0;0,27;0;20,45;10;73,4;238
3;0;0,27;0;40,39;10;73,4;241
3;0;0,3;0;19,95;10;73,4;244
3;0;0,31;0;39,39;10;73,4;247
4;0;0,27;0;19,95;10;73,4;251
3;0;0,3;0;38,9;10;73,4;254
3;0;0,29;0;19,95;10;73,4;257
3;0;0,37;0;39,39;10;73,4;260
3;0;0,42;0;19,45;10;73,4;263
3;0;0,26;0;39,89;10;73,4;266
3;0;0,28;0;19,95;10;72,1;269
3;0;0,31;0;40,39;10;72,1;272
3;0;0,42;0;19,45;10;72,1;275
4;0;0,34;0;39,89;10;72,1;279
3;0;0,34;0;41,89;10;72,1;282
3;0;0,38;0;18,45;10;72,1;285
3;0;0,34;0;37,4;10;72,1;288
3;0;0,43;0;18,45;10;72,1;291
3;0;0,47;0;37,4;10;72,1;294
3;0;0,38;0;19,45;10;72,1;297
4;0;0,46;0;39,89;10;72,1;301
3;0;0,42;0;19,45;10;72,1;304
3;0;0,45;0;39,39;10;72,1;307
3;0;0,46;0;19,95;10;72,1;310
3;0;0,49;0;39,89;10;72,1;313
3;0;0,56;0;20,94;10;72,1;316
3;0;0,54;0;40,39;10;72,1;319
3;0;0,48;0;19,95;10;72,1;322
4;0;0,6;0;40,39;10;72,1;326
3;0;0,59;0;20,45;10;72,1;329
3;0;0,63;0;39,89;10;72,1;332
3;0;0,73;0;19,95;10;72,1;335
3;0;0,73;0;39,89;10;72,1;338
3;0;0,86;0;19,45;10;72,1;341
3;0;0,83;0;38,9;10;72,1;344
3;0;0,94;0;19,45;10;72,1;347
4;0;0,96;0;40,39;10;72,1;351
3;0;1,01;0;18,95;10;72,1;354
3;0;1,15;0;38,9;10;72,1;357
3;0;1,18;0;19,95;10;72,1;360
3;0;1,05;0;40,39;10;69,2;363
3;0;1,09;0;19,95;10;69,2;366
3;0;1,3;0;39,89;10;69,2;369
3;0;1,25;0;19,95;10;69,2;372
4;0;1,63;0;39,89;10;69,2;376
3;0;1,57;0;19,45;10;69,2;379
3;0;1,63;0;39,39;10;69,2;382
3;0;1,89;0;19,45;10;69,2;385
3;0;2,05;0;38,9;10;69,2;388
3;0;2,19;0;19,95;10;69,2;391
3;0;2,31;0;39,39;10;69,2;394
3;0;2,46;0;18,95;10;69,2;397
4;0;2,63;0;38,9;10;69,2;401
3;0;2,77;0;19,45;10;69,2;404
3;0;3;0;38,9;10;69,2;407
3;0;3,07;0;18,95;10;69,2;410
3;0;3,35;0;38,9;10;69,2;413
3;0;3,44;0;18,95;10;69,2;416
3;0;3,58;0;38,4;10;69,2;419
3;0;3,76;0;18,95;10;69,2;422
4;0;3,87;0;38,4;10;69,2;426
3;0;4,11;0;18,45;10;69,2;429
3;0;4,41;0;37,4;10;69,2;432
3;0;4,48;0;18,45;10;69,2;435
3;0;4,76;0;37,4;10;69,2;438
3;0;4,79;0;18,45;10;69,2;441
3;0;4,96;0;36,4;10;69,2;444
3;0;5,06;0;17,95;10;69,2;447
3;0;6,07;0;16,46;10;62,8;450
4;0;6,19;0;32,91;10;62,8;454
