Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
T,40,9.80,10.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,10.40,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.40,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.20,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,36.80,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.20,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.40,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,37.30,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.20,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,9.90,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,10.00,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,9.90,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.20,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,38.90,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.20,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.20,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,38.80,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.30,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,37.90,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.80,10.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,10.00,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,10.40,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.20,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,38.10,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
O,40,10.40,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.30,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,35.70,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.90,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,9.90,10.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,10.40,10.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,10.10,10.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.20,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,36.30,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
O,40,10.20,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,10.30,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.10,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,10.10,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,36.80,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.20,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,9.90,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.10,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,36.00,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,9.90,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.20,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,36.10,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,9.80,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.20,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,10.00,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,37.80,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.20,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,10.20,10.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.10,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,39.20,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.90,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.20,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,10.00,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.20,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,38.90,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.20,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
T,40,10.00,10.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,10.10,10.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,34.20,49.00,0.00,-0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1
O,40,10.10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
