Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,43432,11.50,11.50,0.00,0.00,0.05,0.00,0.00,-1023.00,0.00,15.00,0.00,1
L,40,14.10,11.50,0.00,0.46,-0.07,0.00,-12.00,261.46,0.00,15.00,0.00,1
T,49137,17.70,17.70,0.00,4.36,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,14.90,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.00,11.50,0.00,1.05,-0.24,0.00,-27.33,878.29,0.00,15.00,0.00,1
T,40,17.70,17.70,0.00,4.95,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,14.90,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.00,11.50,0.00,1.26,-0.26,0.00,-32.87,942.88,0.00,15.00,0.00,1
T,40,17.40,17.70,0.00,2.84,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.00,11.50,0.00,1.02,-0.26,0.00,-26.63,957.14,0.00,15.00,0.00,1
L,40,12.40,11.50,0.00,0.68,-0.26,0.00,-17.78,940.75,0.00,15.00,0.00,1
T,40,17.90,17.70,0.00,1.74,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,14.90,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.20,11.50,0.00,0.33,-0.26,0.00,-8.71,943.91,0.00,15.00,0.00,1
T,40,17.70,17.70,0.00,0.87,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,14.90,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.20,11.50,0.00,0.24,-0.26,0.00,-6.15,973.81,0.00,15.00,0.00,1
T,40,17.70,17.70,0.00,0.42,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,14.90,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,16.80,11.50,0.00,0.09,-0.26,0.00,-2.26,968.84,0.00,15.00,0.00,1
T,40,17.60,17.70,0.00,0.20,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,14.90,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.80,11.50,0.00,0.05,-0.26,0.00,-1.32,948.39,0.00,15.00,0.00,1
T,40,17.40,17.70,0.00,0.03,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,14.90,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,16.30,11.50,0.00,0.02,-0.27,0.00,-0.62,977.46,0.00,15.00,0.00,1
T,40,17.80,17.70,0.00,0.02,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,14.90,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,7.90,11.50,0.00,0.03,-0.26,0.00,-0.73,943.12,0.00,15.00,0.00,1
T,40,17.70,17.70,0.00,0.01,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
