Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,302479,8.40,8.40,0.00,2.98,-0.07,0.00,-800.00,1023.00,0.08,15.00,0.00,1
L,40,4.50,8.40,0.00,-2.26,0.10,0.00,-740.87,550.75,0.00,15.00,0.00,1
L,40,5.00,8.40,0.00,-6.22,0.18,0.00,-624.53,484.50,0.00,15.00,0.00,1
S,40,11.70,12.20,0.00,3.76,-0.00,0.00,0.00,0.00,0.06,15.00,0.00,1
T,40,7.10,7.00,0.00,3.72,-0.01,0.00,0.00,0.00,0.03,15.00,0.06,1
L,40,7.10,8.40,0.00,-10.77,0.41,0.00,-423.34,-174.67,0.00,15.00,0.00,1
S,40,10.30,12.20,-1.00,2.44,-0.00,-1.00,-89.87,7.73,0.06,15.00,0.00,1
T,40,6.90,7.00,0.00,2.89,0.05,0.00,0.00,0.00,0.03,15.00,0.06,1
L,40,4.10,8.40,0.00,-12.57,0.52,0.00,-242.07,-391.11,0.00,15.00,0.00,1
S,40,8.90,12.20,-1.00,0.90,-0.01,-1.00,-84.61,16.27,0.00,15.00,0.00,1
T,40,7.00,7.00,0.00,1.56,-0.01,0.00,0.00,0.00,0.03,15.00,0.06,1
L,40,4.60,8.40,0.00,-11.29,0.43,0.00,-131.91,-273.64,0.00,15.00,0.00,1
S,40,8.40,12.20,-1.00,0.09,-0.01,-1.00,-82.32,40.90,0.00,15.00,0.00,1
S,40,8.10,12.20,-1.00,-0.13,-0.00,-1.00,-82.78,-3.04,0.00,15.00,0.00,1
T,40,7.00,7.00,0.00,0.73,-0.01,0.00,0.00,0.00,0.03,15.00,0.00,1
S,40,8.00,12.20,-1.00,-0.28,-0.00,-1.00,-83.94,17.38,0.00,15.00,0.00,1
T,40,6.90,7.00,0.00,0.41,-0.01,0.00,0.00,0.00,0.03,15.00,0.00,1
S,40,7.70,12.20,-1.00,-0.38,-0.01,-1.00,-85.45,21.28,0.00,15.00,0.00,1
S,40,7.60,12.20,-1.00,-0.40,-0.00,-1.00,-88.67,12.15,0.00,15.00,0.00,1
T,40,7.10,7.00,0.00,0.20,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.70,8.40,0.00,-3.99,0.16,0.00,-45.41,-2.34,0.00,15.00,0.00,1
S,40,7.50,12.20,-1.00,-0.40,-0.00,-1.00,-95.78,18.18,0.00,15.00,0.00,1
T,40,7.10,7.00,0.00,0.10,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.60,8.40,0.00,-2.67,0.18,0.00,-36.86,-194.50,0.00,15.00,0.00,1
S,40,7.80,12.20,-1.00,-0.60,-0.00,-1.00,-97.18,4.11,0.00,15.00,0.00,1
T,40,6.80,7.00,0.00,0.05,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.00,12.20,-1.00,-0.75,0.00,-1.00,-95.45,7.24,0.00,15.00,0.00,1
S,40,7.70,12.20,-1.00,-0.83,-0.00,-1.00,-94.89,24.38,0.00,15.00,0.00,1
T,40,6.70,7.00,0.00,0.01,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,3.80,8.40,0.00,-1.41,0.10,0.00,-19.64,-121.69,0.00,15.00,0.00,1
S,40,8.00,12.20,-1.00,-1.02,-0.00,-1.00,-91.48,24.18,0.00,15.00,0.00,1
T,40,6.80,7.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,3.60,8.40,0.00,-0.94,0.05,0.00,-17.35,-6.08,0.00,15.00,0.00,1
L,40,5.00,8.40,0.00,-0.78,0.05,0.00,-16.02,-58.36,0.00,15.00,0.00,1
T,40,6.70,7.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.00,12.20,-1.00,-1.01,0.01,-1.00,-91.33,-6.57,0.00,15.00,0.00,1
S,40,7.80,12.20,-1.00,-1.01,-0.00,-1.00,-91.30,29.05,0.00,15.00,0.00,1
T,40,6.50,7.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.30,12.20,-1.00,-0.98,-0.00,-1.00,-92.14,7.60,0.00,15.00,0.00,1
L,40,4.70,8.40,0.00,-0.28,0.04,0.00,-16.50,-80.50,0.00,15.00,0.00,1
T,40,6.30,7.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,8.20,12.20,-1.00,-1.18,0.01,-1.00,-86.60,-22.37,0.00,15.00,0.00,1
S,40,8.00,12.20,-1.00,-1.33,0.01,-1.00,-81.72,-2.55,0.00,15.00,0.00,1
T,40,6.30,7.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.20,12.20,-1.00,-0.91,0.00,-1.00,-90.72,15.33,0.00,15.00,0.00,1
L,40,4.40,8.40,0.00,-0.18,0.04,0.00,-14.79,-97.44,0.00,15.00,0.00,1
T,40,6.00,7.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.30,12.20,-1.00,-1.07,-0.00,-1.00,-86.24,18.58,0.00,15.00,0.00,1
S,40,8.40,12.20,-1.00,-1.10,0.01,-1.00,-85.16,-28.37,0.00,15.00,0.00,1
T,40,6.00,7.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.30,12.20,-1.00,-1.11,-0.00,-1.00,-84.23,33.40,0.00,15.00,0.00,1
S,40,8.10,12.20,-1.00,-1.15,0.00,-1.00,-82.55,-8.25,0.00,15.00,0.00,1
T,40,6.00,7.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.30,12.20,-1.00,-1.15,0.00,-1.00,-81.69,-5.29,0.00,15.00,0.00,1
L,40,4.50,8.40,0.00,-0.10,-0.39,0.00,3.22,1023.00,0.00,15.00,0.00,1
T,40,5.70,7.00,-2.00,-0.23,-0.08,-2.00,-57.80,282.32,0.00,15.00,0.00,1
S,40,8.50,12.20,-1.00,-1.12,-0.00,-1.00,-80.63,16.94,0.00,15.00,0.00,1
L,40,4.20,8.40,0.00,0.56,-0.04,0.00,-11.69,-45.32,0.00,15.00,0.00,1
T,40,5.90,7.00,-2.00,-0.94,-0.08,-2.00,-60.01,233.51,0.00,15.00,0.00,1
S,40,8.60,12.20,-1.00,-1.05,0.01,-1.00,-81.24,-24.61,0.00,15.00,0.00,1
L,40,4.70,8.40,0.00,0.34,0.54,0.00,-12.47,-961.39,0.00,15.00,0.00,1
T,40,6.20,7.00,-2.00,-1.49,-0.07,-2.00,-56.57,170.78,0.00,15.00,0.00,1
S,40,9.00,12.20,-1.00,-0.91,0.01,-1.00,-84.39,-48.85,0.00,15.00,0.00,1
L,40,4.90,8.40,0.00,0.01,0.23,0.00,-6.23,-293.28,0.00,15.00,0.00,1
T,40,6.30,7.00,-1.80,-1.88,-0.06,-1.80,-44.88,192.93,0.00,15.00,0.00,1
S,40,8.80,12.20,-1.00,-0.92,-0.00,-1.00,-85.16,10.09,0.00,15.00,0.00,1
S,40,9.20,12.20,-1.00,-0.90,-0.00,-1.00,-86.20,5.54,0.00,15.00,0.00,1
T,40,6.50,7.00,0.00,-1.70,0.24,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,7.10,8.40,0.00,0.11,-0.47,0.00,-2.80,1023.00,0.00,15.00,0.00,1
T,40,6.80,7.00,0.00,-1.34,0.24,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.00,12.20,-1.00,-0.95,0.00,-1.00,-85.85,-15.63,0.00,15.00,0.00,1
L,40,5.10,8.40,0.00,0.02,-0.47,0.00,-0.41,1023.00,0.00,15.00,0.00,1
S,40,9.40,12.20,-1.00,-1.06,0.00,-1.00,-83.04,-15.51,0.00,15.00,0.00,1
T,40,6.40,10.00,-2.00,-0.09,0.24,-2.00,-49.80,-898.50,0.00,15.00,0.00,1
L,40,4.60,8.40,10.00,0.01,-0.47,0.00,260.79,1023.00,0.00,15.00,0.00,1
L,40,4.90,8.40,10.00,0.66,-0.47,0.00,301.86,1023.00,0.00,15.00,0.00,1
T,40,6.30,10.00,-2.00,-0.30,-0.07,-2.00,-55.94,80.47,0.00,15.00,0.00,1
S,40,9.50,10.00,-1.00,-1.06,-0.00,-1.00,-81.93,14.82,0.00,15.00,0.00,1
L,40,5.40,8.40,10.00,3.41,-0.17,0.00,332.15,288.11,0.00,15.00,0.00,1
T,40,6.00,10.00,-2.00,-1.20,-0.17,-2.00,-46.80,482.54,0.00,15.00,0.00,1
S,40,9.70,10.00,9.00,-0.30,-0.00,9.00,217.90,18.05,0.00,15.00,0.00,1
S,40,10.00,10.00,0.00,4.28,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,7.10,10.00,8.00,0.27,0.29,8.00,225.14,-1023.00,0.00,15.00,0.00,1
L,40,3.20,8.40,10.00,8.32,0.15,0.00,282.55,-100.88,0.00,15.00,0.00,1
L,40,6.90,8.40,10.00,8.60,0.14,0.00,284.91,-84.08,0.00,15.00,0.00,1
T,40,6.50,10.00,-1.00,2.48,0.21,-1.00,19.60,-423.06,0.00,15.00,0.00,1
L,40,3.70,8.40,10.00,8.70,0.14,0.00,290.55,-118.22,0.00,15.00,0.00,1
S,40,11.30,10.00,9.00,0.85,-0.00,9.00,212.85,1.91,0.00,15.00,0.00,1
T,40,5.50,10.00,8.00,3.44,-0.11,8.00,181.69,382.75,0.00,15.00,0.00,1
S,40,11.80,10.00,9.00,1.77,0.00,9.00,236.06,-1.44,0.00,15.00,0.00,1
L,40,6.40,8.40,10.00,8.79,0.13,0.00,311.52,-160.88,0.00,15.00,0.00,1
T,40,5.80,10.00,8.00,3.76,-0.01,8.00,221.37,-103.48,0.00,15.00,0.00,1
L,40,2.60,8.40,10.00,9.03,0.12,0.00,312.06,-148.62,0.00,15.00,0.00,1
S,40,12.20,10.00,9.96,5.14,-0.00,9.96,284.71,6.96,0.00,15.00,0.00,1
T,40,6.10,10.00,8.02,5.39,-0.04,8.02,219.51,97.70,0.00,15.00,0.00,1
L,40,5.30,8.40,10.00,9.55,0.04,0.00,308.05,-3.00,0.00,15.00,0.00,1
L,40,5.30,8.40,10.00,9.68,0.08,0.00,307.25,-173.58,0.00,15.00,0.00,1
T,40,6.30,10.00,8.40,6.32,-0.08,8.40,234.33,93.48,0.00,15.00,0.00,1
L,40,6.40,8.40,10.00,9.67,0.08,0.00,309.45,-121.56,0.00,15.00,0.00,1
S,40,12.30,10.00,11.00,8.31,-0.00,11.00,317.15,7.83,0.00,15.00,0.00,1
T,40,6.30,10.00,10.00,6.89,-0.03,10.00,283.70,-43.19,0.00,15.00,0.00,1
S,40,12.30,10.00,11.00,8.82,0.00,11.00,319.49,-2.07,0.00,15.00,0.00,1
S,41,12.50,10.00,11.00,9.25,0.00,11.00,321.12,0.83,0.00,15.00,0.00,1
T,40,6.50,10.00,10.00,7.56,-0.07,10.00,300.65,262.40,0.00,15.00,0.00,1
L,40,3.20,8.40,10.00,9.77,0.02,0.00,309.96,-32.54,0.00,15.00,0.00,1
L,40,4.30,8.40,10.00,9.71,0.02,0.00,312.86,-27.56,0.00,15.00,0.00,1
T,40,6.30,10.00,10.00,8.78,0.01,10.00,293.91,-244.10,0.00,15.00,0.00,1
S,40,12.60,10.00,11.00,10.17,-0.00,11.00,321.30,4.07,0.00,15.00,0.00,1
L,40,4.50,8.40,10.00,9.80,0.02,0.00,313.84,-36.12,0.00,15.00,0.00,1
T,40,6.50,10.00,10.00,9.32,-0.03,10.00,292.10,73.49,0.00,15.00,0.00,1
L,40,5.10,8.40,10.00,9.88,0.01,0.00,312.88,-17.88,0.00,15.00,0.00,1
S,40,12.20,10.00,11.00,10.03,-0.01,11.00,339.93,18.48,0.00,15.00,0.00,1
T,40,6.30,10.00,10.00,9.72,0.03,10.00,287.02,-83.15,0.00,15.00,0.00,1
S,40,12.20,10.00,11.00,10.69,-0.01,11.00,328.35,17.34,0.00,15.00,0.00,1
L,40,3.00,8.40,10.00,9.81,0.00,0.00,317.04,-3.17,0.00,15.00,0.00,1
T,40,6.20,10.00,10.00,9.86,-0.04,10.00,286.35,76.20,0.00,15.00,0.00,1
S,40,12.00,10.00,11.00,10.66,-0.01,11.00,333.26,18.87,0.00,15.00,0.00,1
S,40,12.00,10.00,11.00,10.88,-0.01,11.00,329.53,16.06,0.00,15.00,0.00,1
T,40,6.50,10.00,10.00,9.76,-0.03,10.00,291.06,140.10,0.00,15.00,0.00,1
L,40,5.60,8.40,10.00,9.84,0.00,0.00,321.18,-11.09,0.01,15.00,0.00,1
S,40,11.60,10.00,11.00,10.97,-0.00,11.00,330.05,16.27,0.00,15.00,0.01,1
T,40,6.70,10.00,10.00,9.76,0.04,10.00,294.13,-172.76,0.00,15.00,0.00,1
L,40,4.70,8.40,10.00,9.76,0.00,0.00,325.68,-4.89,0.01,15.00,0.00,1
L,40,1.80,8.40,10.00,10.00,-0.00,0.00,320.89,-4.94,0.01,15.00,0.00,1
T,40,7.10,10.00,10.00,10.53,-0.02,10.00,278.38,63.85,0.00,15.00,0.00,1
S,40,12.00,10.00,11.00,11.02,-0.00,11.00,329.49,11.02,0.00,15.00,0.01,1
L,40,5.70,8.40,10.00,9.84,-0.00,0.00,326.21,3.25,0.01,15.00,0.00,1
T,41,6.70,10.00,10.00,9.75,0.04,10.00,297.63,-91.98,0.00,15.00,0.00,1
S,40,11.80,10.00,11.00,11.07,-0.00,11.00,327.69,12.92,0.00,15.00,0.01,1
L,40,4.20,8.40,10.00,10.01,-0.00,0.00,323.63,1.23,0.02,15.00,0.00,1
T,40,7.30,10.00,10.00,10.19,0.02,10.00,287.69,-52.96,0.00,15.00,0.00,1
S,40,11.60,10.00,11.00,11.18,0.01,11.00,323.47,-7.45,0.00,15.00,0.02,1
L,40,4.10,8.40,10.00,10.01,-0.00,0.00,323.61,6.64,0.02,15.00,0.00,1
T,40,7.10,10.00,10.00,10.03,-0.04,10.00,289.77,78.47,0.02,15.00,0.00,1
L,40,4.80,8.40,10.00,9.91,-0.00,0.00,326.01,5.89,0.02,15.00,0.00,1
L,40,5.20,8.40,10.00,9.93,-0.00,0.00,326.24,1.58,0.02,15.00,0.00,1
T,40,6.80,10.00,10.00,10.11,-0.02,10.00,287.04,35.78,0.02,15.00,0.00,1
L,40,5.10,8.40,10.00,10.01,-0.00,0.00,324.57,6.45,0.02,15.00,0.00,1
S,40,11.50,10.00,11.00,11.18,0.01,11.00,320.98,-6.10,0.00,15.00,0.02,1
T,40,6.90,10.00,10.00,9.44,-0.01,10.00,305.44,112.76,0.02,15.00,0.00,1
L,40,3.30,8.40,10.00,9.98,-0.00,0.00,325.38,4.69,0.02,15.00,0.00,1
L,40,4.50,8.40,10.00,10.00,-0.00,0.00,324.88,9.50,0.02,15.00,0.00,1
T,40,7.20,10.00,10.00,10.11,0.04,10.00,287.28,-191.77,0.02,15.00,0.00,1
S,40,11.10,10.00,11.00,11.45,-0.00,11.00,309.00,10.87,0.00,15.00,0.02,1
L,40,4.60,8.40,10.00,9.98,-0.00,0.00,325.64,6.49,0.02,15.00,0.00,1
