Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,144368,4.50,4.50,0.00,2.01,-0.12,0.00,-800.00,1023.00,0.08,15.00,0.00,1
S,144365,11.80,11.80,0.00,2.20,0.00,0.00,0.00,0.00,0.01,15.00,0.08,1
L,40,5.60,4.50,0.00,2.72,-0.12,0.00,-71.02,439.94,0.08,15.00,0.00,1
T,40,6.80,6.70,0.00,1.61,0.05,0.00,0.00,0.00,0.00,15.00,0.01,1
S,40,11.40,11.80,0.00,3.02,-0.00,0.00,0.00,0.00,0.01,15.00,0.08,1
L,40,5.50,4.50,0.00,1.57,-0.12,0.00,-41.05,447.82,0.08,15.00,0.00,1
T,40,7.20,6.70,0.00,1.89,0.05,0.00,0.00,0.00,0.00,15.00,0.01,1
S,40,11.80,11.80,0.00,1.86,0.00,0.00,0.00,0.00,0.01,15.00,0.08,1
L,40,4.70,4.50,0.00,0.88,-0.12,0.00,-23.03,445.76,0.08,15.00,0.00,1
T,40,7.10,6.70,0.00,0.92,0.05,0.00,0.00,0.00,0.00,15.00,0.01,1
S,40,11.40,11.80,0.00,0.91,0.00,0.00,0.00,0.00,0.01,15.00,0.08,1
L,40,3.30,4.50,0.00,0.45,-0.12,0.00,-11.75,447.02,0.00,15.00,0.00,1
T,40,7.00,6.70,0.00,0.66,0.05,0.00,0.00,0.00,0.00,15.00,0.01,1
S,40,11.30,11.80,0.00,0.44,0.00,0.00,0.00,0.00,0.01,15.00,0.00,1
L,40,6.10,4.50,0.00,0.04,-0.12,0.00,-1.12,446.18,0.00,15.00,0.00,1
T,40,7.10,6.70,0.00,0.34,0.05,0.00,0.00,0.00,0.00,15.00,0.01,1
S,40,11.40,11.80,0.00,0.04,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.40,4.50,0.00,0.05,-0.12,0.00,-1.26,446.68,0.00,15.00,0.00,1
T,40,6.80,6.70,0.00,0.17,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.60,11.80,0.00,0.05,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.40,4.50,0.00,0.02,-0.12,0.00,-0.54,448.67,0.00,15.00,0.00,1
T,40,7.00,6.70,0.00,0.09,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.70,11.80,0.00,0.04,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,3.40,4.50,0.00,0.02,-0.12,0.00,-0.65,448.81,0.00,15.00,0.00,1
T,40,6.90,6.70,0.00,0.05,-0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.70,11.80,0.00,0.02,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.50,4.50,0.00,0.01,-0.12,0.00,-0.34,441.27,0.00,15.00,0.00,1
L,40,6.80,4.50,0.00,0.01,-0.12,0.00,-0.23,447.92,0.00,15.00,0.00,1
S,40,11.70,11.80,0.00,0.01,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.90,4.50,0.00,0.01,-0.12,0.00,-0.16,445.48,0.00,15.00,0.00,1
T,40,7.10,6.70,0.00,0.00,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.70,11.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.10,4.50,0.00,0.00,-0.12,0.00,-0.08,443.99,0.00,15.00,0.00,1
T,40,7.10,6.70,0.00,0.00,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.50,11.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.80,4.50,0.00,0.00,-0.12,0.00,-0.01,444.42,0.00,15.00,0.00,1
T,40,6.90,6.70,0.00,0.00,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.60,11.80,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.40,4.50,0.00,0.00,-0.12,0.00,-0.01,442.61,0.00,15.00,0.00,1
S,40,11.60,11.80,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,6.30,4.50,0.00,0.00,-0.12,0.00,-0.01,444.52,0.00,15.00,0.00,1
L,41,4.10,4.50,0.00,0.00,-0.12,0.00,-0.01,441.02,0.00,15.00,0.00,1
T,40,7.00,6.70,0.00,0.00,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.60,11.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.50,4.50,0.00,-0.00,-0.12,0.00,0.06,445.80,0.00,15.00,0.00,1
T,40,6.90,6.70,0.00,0.00,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.60,11.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.20,4.50,0.00,0.08,0.08,0.00,-2.67,-386.25,0.00,15.00,0.00,1
T,40,7.10,6.70,0.00,0.00,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.70,11.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,3.90,4.50,0.00,0.23,0.04,0.00,-8.55,-35.68,0.00,15.00,0.00,1
T,40,7.30,6.70,0.00,0.00,0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
