Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,76138,3.10,3.10,0.00,1.98,-0.02,0.00,-800.00,1023.00,0.03,15.00,0.00,1
S,76182,10.50,10.50,0.00,1.88,-0.09,0.00,0.00,0.00,0.05,15.00,0.00,1
S,40,10.30,10.50,0.00,2.31,-0.09,0.00,0.00,0.00,0.08,15.00,0.00,1
L,40,7.30,3.10,0.00,-8.06,0.30,0.00,-525.36,125.72,0.00,15.00,0.00,1
T,40,9.70,9.70,0.00,2.50,0.13,0.00,0.00,0.00,0.10,15.00,0.08,1
T,40,9.70,9.70,0.00,2.35,0.13,0.00,0.00,0.00,0.10,15.00,0.08,1
L,40,4.20,3.10,0.00,-12.15,0.51,0.00,-305.42,-376.73,0.00,15.00,0.00,1
S,40,8.40,10.50,-1.00,1.28,0.11,-1.00,-75.65,-520.43,0.00,15.00,0.00,1
S,40,7.60,10.50,-1.00,0.20,0.10,-1.00,-60.74,-212.53,0.00,15.00,0.00,1
L,40,3.90,3.10,0.00,-11.39,0.47,0.00,-185.43,-299.59,0.00,15.00,0.00,1
T,40,9.50,9.70,0.00,1.14,0.13,0.00,0.00,0.00,0.10,15.00,0.00,1
T,40,9.20,9.70,0.00,0.79,0.13,0.00,0.00,0.00,0.10,15.00,0.00,1
L,40,6.10,3.10,0.00,-9.65,0.38,0.00,-102.48,-267.13,0.00,15.00,0.00,1
S,40,7.50,10.50,-1.00,-1.05,0.02,-1.00,-41.31,-67.83,0.00,15.00,0.00,1
T,40,9.00,9.70,0.00,0.45,0.08,0.00,0.00,0.00,0.10,15.00,0.00,1
L,40,6.20,3.10,0.00,-5.53,0.26,0.00,-121.98,-87.74,0.00,15.00,0.00,1
T,40,9.00,9.70,0.00,0.34,0.12,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,6.20,10.50,-1.00,-0.26,0.01,-1.00,-63.56,-74.27,0.00,15.00,0.00,1
L,40,5.20,3.10,0.00,-4.51,0.22,0.00,-86.80,-156.39,0.00,15.00,0.00,1
S,40,6.30,10.50,-1.00,-0.62,0.01,-1.00,-58.35,-58.23,0.00,15.00,0.00,1
T,40,8.70,9.70,0.00,0.12,0.13,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.70,3.10,0.00,-3.45,0.18,0.00,-63.10,-201.09,0.00,15.00,0.00,1
S,40,6.10,10.50,-1.00,-0.38,0.00,-1.00,-70.28,-61.37,0.00,15.00,0.00,1
T,40,8.80,9.70,0.00,0.06,0.13,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.30,3.10,0.00,-2.50,0.13,0.00,-50.83,-109.93,0.00,15.00,0.00,1
S,40,6.00,10.50,-1.00,-0.37,-0.00,-1.00,-77.61,-42.88,0.00,15.00,0.00,1
T,40,8.80,9.70,0.00,0.01,0.13,0.00,0.00,0.00,0.00,15.00,0.00,1
L,41,2.70,3.10,0.00,-1.93,0.10,0.00,-38.06,-95.56,0.00,15.00,0.00,1
S,40,5.70,10.50,-1.00,-0.31,0.00,-1.00,-86.18,-63.85,0.00,15.00,0.00,1
T,40,8.90,9.70,0.00,0.01,0.13,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,6.40,3.10,0.00,-1.51,0.09,0.00,-27.71,-112.26,0.00,15.00,0.00,1
T,40,8.90,9.70,0.00,0.01,0.13,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.80,9.70,0.00,0.01,0.13,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,6.10,3.10,0.00,-1.12,0.08,0.00,-21.38,-120.89,0.00,15.00,0.00,1
S,40,5.50,10.50,-1.00,-0.56,-0.01,-1.00,-95.72,-9.46,0.00,15.00,0.00,1
T,40,8.80,9.70,0.00,0.00,0.12,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.40,3.10,0.00,-0.78,-0.40,0.00,20.48,1023.00,0.00,15.00,0.00,1
S,40,5.60,10.50,-1.00,-0.68,-0.01,-1.00,-97.25,-18.68,0.00,15.00,0.00,1
L,40,6.70,3.10,0.00,-0.24,-0.27,0.00,13.53,541.74,0.00,15.00,0.00,1
S,40,5.80,10.50,-1.00,-0.67,-0.01,-1.00,-99.48,-12.15,0.00,15.00,0.00,1
L,40,7.30,3.10,0.00,0.15,-0.03,0.00,4.93,-110.32,0.00,15.00,0.00,1
T,40,8.50,9.70,-2.00,-0.23,-0.06,-2.00,-57.85,390.12,0.00,15.00,0.00,1
L,40,5.60,3.10,0.00,0.35,0.08,0.00,-9.17,-282.36,0.00,15.00,0.00,1
S,40,7.20,10.50,-1.00,-0.66,-0.01,-1.00,-107.05,-12.84,0.00,15.00,0.00,1
T,40,8.50,9.70,-2.00,-2.08,-0.05,-2.00,-29.74,69.64,0.00,15.00,0.00,1
L,40,3.80,3.10,0.00,0.21,0.50,0.00,-9.80,-1023.00,0.00,15.00,0.00,1
S,40,7.00,10.50,-1.00,-0.66,-0.02,-1.00,-111.61,13.53,0.00,15.00,0.00,1
T,40,8.70,9.70,-2.00,-0.81,-0.08,-2.00,-67.38,194.32,0.00,15.00,0.00,1
L,40,5.70,3.10,0.00,0.20,0.14,0.00,-10.88,-307.61,0.00,15.00,0.00,1
T,40,8.90,9.70,-2.00,-1.34,-0.07,-2.00,-60.38,171.97,0.00,15.00,0.00,1
T,40,9.10,9.70,-1.40,-1.49,-0.06,-1.40,-44.68,163.68,0.00,15.00,0.00,1
L,40,3.00,3.10,0.00,0.33,-0.48,0.00,-8.74,1023.00,0.00,15.00,0.00,1
T,40,9.10,9.70,-2.00,-1.59,-0.06,-2.00,-57.04,208.13,0.00,15.00,0.00,1
T,40,9.20,9.70,-1.00,-1.77,-0.10,-1.00,-28.78,356.94,0.00,15.00,0.00,1
L,40,6.60,3.10,0.00,0.44,-0.42,0.00,-11.61,1023.00,0.00,15.00,0.00,1
S,40,6.40,10.50,-1.00,-0.91,-0.02,-1.00,-114.02,28.78,0.00,15.00,0.00,1
T,40,9.60,9.70,0.00,-1.66,-0.13,0.00,3.38,464.26,0.00,15.00,0.00,1
L,40,6.30,3.10,0.00,0.13,0.25,0.00,-8.80,-574.73,0.00,15.00,0.00,1
S,40,6.80,10.50,-1.00,-0.99,-0.02,-1.00,-112.84,47.60,0.00,15.00,0.00,1
T,40,11.40,9.70,0.00,-2.00,0.40,0.00,30.04,-831.82,0.00,15.00,0.00,1
L,40,5.30,3.10,0.00,-0.01,-0.41,0.00,-3.90,1023.00,0.00,15.00,0.00,1
T,40,10.10,9.70,0.00,0.17,0.30,0.00,-15.02,-529.55,0.00,15.00,0.00,1
T,40,9.00,9.70,-1.80,0.29,-0.09,-1.80,-66.00,722.99,0.00,15.00,0.00,1
L,40,5.40,3.10,0.00,-0.16,-0.35,0.00,1.65,1023.00,0.00,15.00,0.00,1
S,40,7.20,10.50,-1.00,-1.35,-0.02,-1.00,-102.03,72.52,0.00,15.00,0.00,1
T,40,8.40,9.70,-2.00,-1.35,-0.12,-2.00,-49.22,281.88,0.00,15.00,0.00,1
L,40,5.70,3.10,0.00,-0.47,-0.30,0.00,11.90,674.35,0.00,15.00,0.00,1
S,40,7.50,10.50,-1.00,-1.38,-0.02,-1.00,-96.98,51.56,0.00,15.00,0.00,1
T,40,8.50,9.70,-2.00,-1.40,-0.05,-2.00,-56.38,88.58,0.00,15.00,0.00,1
L,40,6.00,3.10,0.00,0.85,0.03,0.00,-22.10,-128.68,0.00,15.00,0.00,1
S,40,8.20,10.50,-1.00,-1.55,-0.01,-1.00,-87.49,27.31,0.00,15.00,0.00,1
T,40,8.30,9.70,-2.00,-1.45,-0.05,-2.00,-61.07,2.50,0.00,15.00,0.00,1
L,40,5.70,3.10,0.00,-0.37,0.60,0.00,2.77,-1023.00,0.00,15.00,0.00,1
L,40,5.30,3.10,20.00,-0.23,-0.12,0.00,523.59,1023.00,0.00,15.00,0.00,1
T,40,9.10,20.00,-2.00,-1.84,-0.05,-2.00,-55.43,-0.45,0.00,15.00,0.00,1
S,40,8.20,20.00,-1.00,-1.42,0.00,-1.00,-81.75,26.65,0.00,15.00,0.00,1
S,41,8.60,20.00,19.00,-1.36,-0.00,19.00,444.12,29.10,0.00,15.00,0.00,1
T,40,9.20,20.00,-2.00,-1.93,-0.05,-2.00,-54.12,155.62,0.00,15.00,0.00,1
L,40,3.90,3.10,20.00,8.36,-0.07,0.00,607.08,-97.49,0.00,15.00,0.00,1
S,40,9.40,20.00,19.00,11.38,-0.13,19.00,340.52,302.14,0.00,15.00,0.00,1
T,40,11.30,20.00,18.00,-1.90,-0.07,18.00,465.94,231.65,0.00,15.00,0.00,1
L,40,4.00,3.10,20.00,14.42,-0.01,0.00,562.09,-127.08,0.00,15.00,0.00,1
S,40,9.50,20.00,19.00,10.72,0.07,19.00,460.83,-180.74,0.00,15.00,0.00,1
T,40,13.00,20.00,18.00,2.23,0.47,18.00,580.81,-976.41,0.00,15.00,0.00,1
L,40,5.70,3.10,20.00,17.11,-0.02,0.00,546.98,-76.25,0.00,15.00,0.00,1
S,40,9.80,20.00,19.00,13.74,0.06,19.00,461.97,-78.85,0.00,15.00,0.00,1
T,40,11.00,20.00,18.00,10.81,0.32,18.00,493.75,-660.73,0.00,15.00,0.00,1
L,40,5.20,3.10,20.00,18.68,-0.03,0.00,536.03,-46.93,0.00,15.00,0.00,1
S,40,10.20,20.00,19.00,14.72,0.02,19.00,495.64,-3.70,0.00,15.00,0.00,1
T,40,12.10,20.00,18.00,15.43,-0.01,18.00,446.17,86.04,0.00,15.00,0.00,1
L,40,5.80,3.10,20.00,18.15,-0.03,0.00,569.04,-27.23,0.00,15.00,0.00,1
S,40,10.20,20.00,19.00,15.99,0.02,19.00,504.45,-26.81,0.00,15.00,0.00,1
T,40,15.90,20.00,18.00,14.79,-0.21,18.00,494.96,314.17,0.00,15.00,0.00,1
L,40,6.20,3.10,20.00,18.80,-0.07,0.00,571.50,115.82,0.00,15.00,0.00,1
S,40,10.40,20.00,19.00,16.91,0.02,19.00,512.51,-25.41,0.00,15.00,0.00,1
T,40,12.60,20.00,18.00,15.85,-0.09,18.00,502.38,27.47,0.00,15.00,0.00,1
L,40,4.70,3.10,20.00,19.15,-0.02,0.00,575.42,-40.47,0.00,15.00,0.00,1
S,40,10.60,20.00,19.00,17.59,0.02,19.00,517.87,-17.35,0.00,15.00,0.00,1
T,40,12.50,20.00,18.00,16.50,-0.14,18.00,510.23,310.57,0.00,15.00,0.00,1
L,40,5.00,3.10,20.00,19.40,-0.02,0.00,577.93,-12.85,0.01,15.00,0.00,1
