Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,282122,4.30,4.30,0.00,1.77,-0.01,0.00,0.00,0.00,0.08,15.00,0.00,1
S,282159,20.40,20.40,0.00,2.11,-0.06,0.00,0.00,0.00,0.01,15.00,0.09,1
S,40,80.00,20.40,1.00,2.56,-0.06,1.00,-40.66,232.09,0.01,15.00,0.09,1
L,40,5.90,4.30,0.00,1.60,-0.01,0.00,0.00,0.00,0.09,15.00,0.00,1
T,40,21.80,21.40,0.00,2.39,-0.17,0.00,0.00,0.00,0.03,15.00,0.01,1
S,40,80.00,20.40,1.00,1.40,0.03,1.00,-28.83,-66.48,0.00,15.00,0.09,1
L,40,3.10,4.30,0.00,0.85,-0.01,0.00,0.00,0.00,0.09,15.00,0.00,1
T,40,21.70,21.40,0.00,1.86,-0.17,0.00,0.00,0.00,0.03,15.00,0.00,1
S,40,80.00,20.40,1.00,0.76,0.01,1.00,-14.79,-16.73,0.00,15.00,0.09,1
L,40,3.80,4.30,0.00,0.46,-0.01,0.00,0.00,0.00,0.09,15.00,0.00,1
T,40,21.40,21.40,0.00,1.12,-0.12,0.00,0.00,0.00,0.03,15.00,0.00,1
S,40,80.00,20.40,1.00,0.37,0.01,1.00,-12.10,-35.40,0.00,15.00,0.09,1
L,40,5.00,4.30,0.00,0.22,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,20.80,21.40,0.00,0.60,-0.17,0.00,0.00,0.00,0.03,15.00,0.00,1
L,40,2.80,4.30,0.00,0.16,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.00,4.30,0.00,0.11,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.40,21.40,0.00,0.31,-0.17,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,21.90,20.40,1.00,-0.13,-0.07,1.00,18.08,254.99,0.00,15.00,0.00,1
L,40,4.10,4.30,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.00,21.40,0.00,0.15,-0.17,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,80.00,20.40,1.00,0.46,-0.02,1.00,10.89,-33.84,0.00,15.00,0.00,1
L,40,4.70,4.30,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.30,21.40,0.00,0.03,-0.17,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,80.00,20.40,1.00,0.18,-0.01,1.00,25.83,37.53,0.00,15.00,0.00,1
L,40,3.10,4.30,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.10,21.40,0.00,0.02,-0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,80.00,20.40,1.00,0.09,-0.01,1.00,37.76,43.92,0.00,15.00,0.00,1
L,40,4.80,4.30,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.40,21.40,0.00,0.01,-0.12,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.30,21.40,0.00,0.01,-0.13,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,3.00,4.30,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.40,21.40,0.00,0.01,-0.12,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.70,21.40,0.00,0.00,-0.17,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,3.40,4.30,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,80.00,20.40,1.00,0.05,-0.01,1.00,54.44,54.18,0.00,15.00,0.00,1
T,40,21.30,21.40,0.00,0.00,-0.17,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.10,4.30,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,34.90,20.40,1.00,0.04,-0.01,1.00,65.78,60.30,0.00,15.00,0.00,1
T,40,21.50,21.40,0.00,0.00,-0.17,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.40,4.30,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.30,21.40,0.00,0.00,-0.17,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,21.20,21.40,0.00,0.00,-0.17,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.60,4.30,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,15.50,20.40,-1.00,0.02,-0.01,-1.00,36.50,67.76,0.00,15.00,0.00,1
S,40,80.00,20.40,1.00,0.01,-0.01,1.00,82.94,71.44,0.00,15.00,0.00,1
L,40,4.30,4.30,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,80.00,20.40,1.00,0.01,-0.01,1.00,88.78,74.08,0.00,15.00,0.00,1
