Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,86245,14.30,14.30,0.00,2.06,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.90,14.30,0.00,4.02,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.80,14.30,0.00,2.80,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,86274,16.60,16.60,0.00,1.87,-0.14,0.00,0.00,0.00,0.01,15.00,0.01,1
S,40,14.70,14.70,0.00,2.19,0.07,0.00,0.00,0.00,0.01,15.00,0.00,1
L,40,10.80,14.30,0.00,1.74,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.30,16.60,0.00,2.20,-0.13,0.00,0.00,0.00,0.01,15.00,0.01,1
S,40,14.30,14.70,0.00,1.13,0.07,0.00,0.00,0.00,0.01,15.00,0.00,1
L,40,10.00,14.30,0.00,0.84,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.30,16.60,0.00,1.49,-0.14,0.00,0.00,0.00,0.01,15.00,0.01,1
S,40,14.60,14.70,0.00,0.64,0.07,0.00,0.00,0.00,0.01,15.00,0.00,1
L,40,13.10,14.30,0.00,0.42,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.50,16.60,0.00,0.75,-0.14,0.00,0.00,0.00,0.01,15.00,0.01,1
S,40,14.50,14.70,0.00,0.32,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.90,14.30,0.00,0.21,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.30,16.60,0.00,0.41,-0.13,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.50,14.70,0.00,0.16,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.90,14.30,0.00,0.02,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.20,16.60,0.00,0.21,-0.14,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.60,14.70,0.00,0.03,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.10,14.30,0.00,0.03,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.30,16.60,0.00,0.02,-0.14,0.00,0.00,0.00,0.00,15.00,0.00,1
