Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,21246,13.70,13.70,0.00,2.06,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.40,13.70,0.00,2.47,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.50,13.70,0.00,2.32,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.20,15.30,0.00,2.30,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.10,15.30,0.00,1.88,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,10.30,13.70,0.00,1.47,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,7.10,7.30,0.00,2.21,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,15.30,0.00,0.99,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.20,13.70,0.00,0.85,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,7.30,7.30,0.00,1.44,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.10,15.30,0.00,0.53,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.60,13.70,0.00,0.42,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,7.30,7.30,0.00,0.78,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.40,15.30,0.00,0.28,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.40,13.70,0.00,0.21,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,7.40,7.30,0.00,0.38,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,15.30,0.00,0.13,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,9.20,13.70,0.00,0.10,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.10,15.30,0.00,0.02,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,15.30,0.00,0.02,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.30,13.70,0.00,0.05,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,7.20,7.30,0.00,0.09,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.10,15.30,0.00,0.02,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
