Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,27400,13.50,13.50,0.00,2.14,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.60,13.50,0.00,2.96,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.50,13.50,0.00,2.46,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,16.30,13.50,0.00,1.71,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,14.90,0.00,3.21,0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
T,40,16.50,16.80,0.00,4.21,-0.07,0.00,0.00,0.00,0.00,15.00,0.01,1
L,40,10.10,13.50,0.00,0.93,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,14.90,0.00,1.85,0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
T,40,16.90,16.80,0.00,2.27,-0.07,0.00,0.00,0.00,0.00,15.00,0.01,1
L,40,13.80,13.50,0.00,0.44,-0.05,0.00,-11.44,197.65,0.00,15.00,0.00,1
S,40,14.60,14.90,0.00,0.94,0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
T,40,16.90,16.80,0.00,1.21,-0.07,0.00,0.00,0.00,0.00,15.00,0.01,1
L,40,13.50,13.50,0.00,0.08,-0.05,0.00,-1.97,189.71,0.00,15.00,0.00,1
S,40,14.80,14.90,0.00,0.46,0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
T,40,16.90,16.80,0.00,0.64,-0.07,0.00,0.00,0.00,0.00,15.00,0.01,1
L,40,12.10,13.50,0.00,0.07,0.03,0.00,-1.71,-116.46,0.00,15.00,0.00,1
S,40,14.90,14.90,0.00,0.22,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.80,16.80,0.00,0.06,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,16.20,13.50,0.00,0.11,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,14.90,0.00,0.04,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.40,16.80,0.00,0.09,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.90,13.50,0.00,0.05,-0.05,0.00,-1.20,192.71,0.00,15.00,0.00,1
S,40,15.10,14.90,0.00,0.02,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.70,16.80,0.00,0.04,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.70,13.50,0.00,0.08,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,14.90,0.00,0.02,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.50,16.80,0.00,0.02,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.40,13.50,0.00,0.05,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,14.90,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.80,16.80,0.00,0.01,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.30,13.50,0.00,0.02,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,14.90,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.90,16.80,0.00,0.01,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.10,13.50,0.00,0.01,-0.05,0.00,-0.32,187.54,0.00,15.00,0.00,1
S,40,14.70,14.90,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.90,16.80,0.00,0.00,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.40,13.50,0.00,-0.08,0.03,0.00,2.02,-113.86,0.00,15.00,0.00,1
S,40,14.70,14.90,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,17.00,16.80,0.00,0.00,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.80,13.50,0.00,-0.04,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,14.90,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,16.70,16.80,0.00,0.00,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
