Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,54952,6.90,6.90,0.00,2.02,-0.07,0.00,-800.00,1023.00,0.06,15.00,0.00,1
L,40,5.60,6.90,15.00,-4.80,0.21,0.00,-174.43,393.35,0.00,15.00,0.00,1
T,54949,9.40,9.40,0.00,1.55,-0.06,0.00,0.00,0.00,0.08,15.00,0.00,1
S,40,9.70,10.00,0.00,2.42,0.02,0.00,0.00,0.00,0.01,15.00,0.00,1
L,40,5.30,6.90,15.00,-4.21,0.43,0.00,41.37,-200.62,0.00,15.00,0.00,1
T,40,9.50,9.40,0.00,2.13,-0.07,0.00,0.00,0.00,0.08,15.00,0.00,1
L,40,4.10,6.90,15.00,-3.08,0.23,0.00,123.31,625.26,0.00,15.00,0.00,1
S,40,9.10,10.00,0.00,1.23,0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
T,40,9.40,9.40,0.00,1.34,-0.06,0.00,0.00,0.00,0.08,15.00,0.01,1
S,40,9.10,10.00,0.00,0.86,0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,9.10,10.00,0.00,0.65,0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
T,40,9.40,9.40,0.00,0.69,-0.06,0.00,0.00,0.00,0.08,15.00,0.01,1
S,40,9.10,10.00,0.00,0.48,0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,9.80,10.00,0.00,0.33,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.40,9.40,0.00,0.34,-0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,10.00,0.00,0.24,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.00,0.00,0.16,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.17,-0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.10,6.90,15.00,10.00,0.30,0.00,345.68,-275.89,0.00,15.00,0.00,1
S,40,12.00,10.00,12.50,1.10,0.01,12.50,369.57,-23.58,0.00,15.00,0.00,1
T,40,9.20,9.40,0.00,0.09,-0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.10,10.00,12.50,3.34,0.01,12.50,377.37,-14.46,0.00,15.00,0.00,1
S,40,12.20,10.00,12.50,5.75,0.01,12.50,367.78,-13.74,0.00,15.00,0.00,1
T,40,9.90,9.40,0.00,0.04,-0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.20,6.90,15.00,11.78,0.14,0.00,399.82,-104.91,0.00,15.00,0.00,1
S,40,12.10,10.00,12.50,9.33,0.00,12.50,340.14,-13.04,0.00,15.00,0.00,1
T,40,10.40,9.40,0.00,0.00,-0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.60,6.90,15.00,12.72,0.12,0.00,408.48,-76.36,0.00,15.00,0.00,1
L,40,5.80,6.90,15.00,13.14,0.07,0.00,410.68,27.75,0.00,15.00,0.00,1
T,40,11.60,9.40,10.25,2.83,-0.06,10.25,253.28,122.97,0.00,15.00,0.00,1
L,40,3.00,6.90,15.00,13.41,0.07,0.00,414.57,-33.88,0.00,15.00,0.00,1
S,40,12.00,10.00,12.50,11.22,0.00,12.50,339.75,-6.35,0.00,15.00,0.00,1
T,40,11.90,9.40,11.09,5.26,0.01,11.09,297.09,-20.98,0.00,15.00,0.00,1
L,40,2.70,6.90,15.00,13.84,0.02,0.00,420.43,45.36,0.00,15.00,0.00,1
S,40,12.40,10.00,12.58,11.36,-0.00,12.58,352.48,2.72,0.00,15.00,0.00,1
T,40,11.80,9.40,11.27,7.69,0.01,11.27,297.94,-0.27,0.00,15.00,0.00,1
L,40,5.30,6.90,15.00,15.28,0.03,0.00,395.16,83.94,0.00,15.00,0.00,1
S,40,12.60,10.00,13.99,11.51,-0.01,13.99,403.63,13.80,0.00,15.00,0.00,1
T,40,11.80,9.40,11.86,8.87,-0.00,11.86,323.79,20.78,0.00,15.00,0.00,1
L,40,4.00,6.90,15.00,14.26,0.02,0.00,425.90,8.27,0.00,15.00,0.00,1
S,40,12.70,10.00,15.02,12.52,-0.01,15.02,432.52,11.79,0.00,15.00,0.00,1
T,40,12.30,9.40,14.62,10.37,-0.01,14.62,414.32,38.28,0.00,15.00,0.00,1
S,40,13.00,10.00,16.58,13.24,-0.00,16.58,469.14,4.86,0.00,15.00,0.00,1
S,40,12.90,10.00,16.53,13.99,-0.00,16.53,467.48,-0.79,0.00,15.00,0.04,1
T,40,12.30,9.40,15.32,12.71,-0.01,15.32,415.97,29.16,0.00,15.00,0.00,1
S,40,13.00,10.00,17.29,14.81,0.00,17.29,480.70,-9.96,0.00,15.00,0.04,1
L,40,6.40,6.90,15.00,14.63,0.02,0.00,432.07,5.38,0.04,15.00,0.00,1
T,41,12.70,9.40,17.70,14.10,0.01,17.70,475.17,-1.28,0.00,15.00,0.00,1
S,40,12.90,10.00,17.50,16.15,-0.01,17.50,471.40,18.11,0.00,15.00,0.04,1
L,40,3.60,6.90,15.00,14.88,0.02,0.00,429.64,-7.14,0.04,15.00,0.00,1
T,40,12.40,9.40,17.24,15.57,0.01,17.24,463.01,-20.28,0.00,15.00,0.00,1
S,40,12.10,10.00,14.93,16.92,-0.00,14.93,391.54,8.79,0.00,15.00,0.04,1
L,40,3.80,6.90,15.00,14.81,0.01,0.00,433.57,19.62,0.04,15.00,0.00,1
T,40,12.50,9.40,18.39,16.67,0.02,18.39,485.00,-21.36,0.00,15.00,0.00,1
S,40,12.20,10.00,15.92,16.17,-0.00,15.92,433.46,10.62,0.00,15.00,0.04,1
L,40,4.80,6.90,15.00,14.91,0.01,0.00,432.77,27.85,0.04,15.00,0.00,1
T,40,12.60,9.40,19.53,17.25,0.01,19.53,516.61,-11.80,0.00,15.00,0.00,1
S,40,12.10,10.00,16.06,16.95,0.00,16.06,419.67,-13.13,0.00,15.00,0.04,1
S,40,12.00,10.00,15.90,16.33,-0.00,15.90,426.31,17.84,0.00,15.00,0.04,1
T,40,12.70,9.40,19.70,18.09,0.00,19.70,523.23,-3.71,0.00,15.00,0.00,1
S,40,12.00,10.00,16.14,15.99,0.00,16.14,439.05,-15.90,0.00,15.00,0.04,1
L,40,5.80,6.90,15.00,14.95,0.01,0.00,432.56,5.78,0.04,15.00,0.00,1
T,40,12.40,9.40,18.75,18.85,0.00,18.75,495.55,-1.33,0.01,15.00,0.00,1
S,40,12.00,10.00,16.62,16.21,0.00,16.62,447.55,-10.44,0.00,15.00,0.04,1
L,40,5.80,6.90,15.00,15.00,-0.01,0.00,431.49,51.89,0.04,15.00,0.00,1
T,40,12.10,9.40,19.28,18.98,0.00,19.28,503.89,-3.61,0.01,15.00,0.00,1
S,40,11.80,10.00,16.28,16.31,0.01,16.28,445.41,-48.52,0.00,15.00,0.04,1
L,40,6.00,6.90,15.00,14.90,-0.03,0.00,434.89,106.46,0.01,15.00,0.00,1
T,40,12.10,9.40,19.28,18.81,-0.00,19.28,512.40,5.04,0.01,15.00,0.00,1
S,40,11.70,10.00,16.30,16.81,0.01,16.30,432.51,-14.95,0.00,15.00,0.01,1
L,40,6.40,6.90,15.00,14.78,-0.12,0.00,439.31,364.29,0.01,15.00,0.00,1
T,40,12.20,9.40,19.15,18.85,-0.00,19.15,512.60,0.94,0.01,15.00,0.00,1
S,40,11.40,10.00,15.45,15.70,0.00,15.45,430.80,-24.04,0.00,15.00,0.01,1
L,40,5.60,6.90,15.00,15.33,-0.02,0.00,428.44,35.95,0.01,15.00,0.00,1
T,40,11.50,9.40,18.25,18.43,0.00,18.25,489.28,-14.66,0.01,15.00,0.00,1
S,40,11.60,10.00,16.62,16.19,0.01,16.62,442.28,-24.66,0.00,15.00,0.02,1
L,40,6.20,6.90,15.00,14.96,-0.02,0.00,434.41,146.01,0.02,15.00,0.00,1
T,40,11.60,9.40,19.28,18.34,-0.00,19.28,517.16,7.24,0.01,15.00,0.00,1
S,40,11.60,10.00,17.01,16.04,0.01,17.01,464.11,-21.79,0.00,15.00,0.02,1
L,40,5.10,6.90,15.00,14.95,-0.03,0.00,435.11,171.50,0.02,15.00,0.00,1
T,40,11.40,9.40,19.69,18.59,-0.00,19.69,531.29,12.30,0.00,15.00,0.00,1
S,40,11.50,10.00,16.96,16.49,0.00,16.96,455.18,-19.08,0.00,15.00,0.02,1
L,40,4.60,6.90,15.00,14.75,-0.04,0.00,440.70,138.10,0.03,15.00,0.00,1
T,40,11.10,9.40,18.92,19.07,-0.01,18.92,508.67,14.76,0.00,15.00,0.00,1
S,40,11.50,10.00,17.32,16.67,0.00,17.32,465.51,-9.89,0.00,15.00,0.03,1
L,40,2.40,6.90,15.00,15.06,-0.03,0.00,432.72,191.37,0.03,15.00,0.00,1
T,40,10.80,9.40,18.05,19.09,-0.00,18.05,476.61,18.59,0.00,15.00,0.00,1
S,40,11.70,10.00,17.50,17.01,0.00,17.50,469.08,-18.79,0.00,15.00,0.03,1
L,40,0.90,6.90,15.00,15.13,-0.03,0.00,429.93,188.85,0.03,15.00,0.00,1
T,40,10.70,9.40,18.00,18.67,-0.01,18.00,480.87,17.16,0.00,15.00,0.00,1
S,40,11.60,10.00,17.50,17.33,-0.00,17.50,465.15,-7.46,0.00,15.00,0.03,1
L,40,4.20,6.90,15.00,15.02,-0.03,0.00,431.66,209.63,0.06,15.00,0.00,1
T,40,10.70,9.40,18.28,16.37,-0.00,18.28,535.62,7.93,0.00,15.00,0.00,1
S,40,11.80,10.00,17.50,17.44,-0.00,17.50,464.33,-4.01,0.00,15.00,0.03,1
L,40,1.10,6.90,15.00,14.82,-0.02,0.00,438.98,200.79,0.06,15.00,0.00,1
T,40,10.60,9.40,18.19,18.45,0.00,18.19,494.77,2.48,0.00,15.00,0.00,1
