Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,40,11.20,11.50,-1.24,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.10,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.30,11.50,-0.86,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.40,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.20,11.50,-1.30,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.70,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.10,11.50,-1.74,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.00,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.40,11.50,0.00,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.10,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,11.50,11.50,0.00,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,61.50,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.00,11.50,-2.06,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.30,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.20,11.50,-1.30,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.10,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.20,11.50,-1.33,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.80,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.10,11.50,-1.78,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,62.20,61.50,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
