Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,15.90,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.10,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,16.40,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,17.40,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,14.80,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.10,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,15.40,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,14.30,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,17.90,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,15.80,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,18.40,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,16.90,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.10,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,20.50,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,16.30,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,14.00,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,15.10,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,16.30,19.20,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.30,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
