Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,42,59.30,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,42,13.80,13.90,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,59.40,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,41,59.30,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,13.80,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,59.70,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,42,13.80,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,59.90,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,42,14.00,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,59.80,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,13.70,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,59.60,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,41,60.30,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,13.70,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,59.70,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,13.90,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,13.90,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,60.80,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,42,13.70,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,41,59.00,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,13.80,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,60.60,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,41,60.30,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,42,13.80,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,59.10,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,13.70,13.90,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,41,59.60,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,42,13.80,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,59.60,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,42,13.80,13.90,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,60.60,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,13.80,13.90,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,60.10,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,42,13.70,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,59.50,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,14.00,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,41,59.50,58.70,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,14.10,13.90,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
S,42,13.70,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,43,60.30,58.70,20.00,-0.00,0.00,0.00,530.96,-11.99,0.00,15.00,0.00,1
S,41,13.70,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,41,59.30,58.70,20.00,7.08,-0.00,0.00,464.10,18.83,0.00,15.00,0.00,1
S,42,13.90,13.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,42,59.60,58.70,20.00,12.98,-0.00,0.00,387.17,8.56,0.00,15.00,0.00,1
L,40,60.20,58.70,20.00,12.51,-0.01,0.00,440.26,14.78,0.00,15.00,0.00,1
S,41,14.80,13.90,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
L,41,57.80,58.70,20.00,14.02,-0.00,0.00,445.29,7.96,0.00,15.00,0.00,1
