Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,40,14.40,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.70,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,65.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.70,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.60,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.20,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.20,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.60,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.40,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.00,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.40,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.20,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,65.00,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.00,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.90,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.40,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.00,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.90,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.80,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.10,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,65.70,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,65.70,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.90,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.40,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.70,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,65.00,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.80,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,65.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.80,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.90,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.70,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.10,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.20,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.20,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.90,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.40,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.00,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.80,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.30,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.50,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.30,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.90,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.80,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.50,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.40,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.30,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.90,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.10,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.00,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.40,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,65.60,59.10,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.10,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,64.40,59.10,20.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.20,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,63.60,59.10,20.00,6.06,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.30,14.30,0.00,-0.00,1,0.00,0.00,0.00,0.00,3.29,0.00,1
