Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,15.10,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,10.30,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,12.20,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,10.70,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,14.10,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.60,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.20,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,15.10,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,15.20,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,15.10,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,10.60,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,5.90,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,15.10,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,14.10,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.20,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,14.20,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.30,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,12.50,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,8.60,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,11.30,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,12.10,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,12.50,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,10.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,9.30,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,9.80,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,15.00,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.90,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
L,40,80.00,80.00,0.00,0.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.80,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
S,40,14.70,15.00,0.00,-0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,1
