Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,61625,79.40,79.40,0.00,0.00,-0.07,0.00,0.00,1023.00,0.00,15.00,0.00,1
S,63115,10.50,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,78.00,79.40,0.00,-0.16,-0.06,0.00,4.19,1023.00,0.00,15.00,0.00,1
L,40,77.50,79.40,0.00,-1.16,0.06,0.00,30.18,-231.38,0.00,15.00,0.00,1
S,40,9.90,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.80,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,12.60,12.70,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,78.70,79.40,0.00,-0.12,0.17,0.00,9.92,-525.93,0.00,15.00,0.00,1
S,40,9.70,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,77.10,79.40,0.00,-0.16,0.16,0.00,11.60,-392.50,0.00,15.00,0.00,1
T,40,12.40,12.70,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.00,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,75.30,79.40,0.00,0.14,0.11,0.00,4.76,-234.61,0.00,15.00,0.00,1
T,40,12.40,12.70,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.10,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,75.60,79.40,0.00,0.22,0.04,0.00,1.81,-58.40,0.00,15.00,0.00,1
T,40,12.70,12.70,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.90,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,12.80,12.70,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,77.10,79.40,0.00,0.35,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,12.60,12.70,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,77.20,79.40,0.00,0.32,-0.03,0.00,-8.46,112.45,0.00,15.00,0.00,1
S,40,10.00,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,12.30,12.70,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,78.10,79.40,0.00,0.19,-0.10,0.00,-6.87,323.82,0.00,15.00,0.00,1
S,40,10.00,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,12.70,12.70,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,77.10,79.40,0.00,0.16,0.02,0.00,-4.26,-58.50,0.00,15.00,0.00,1
S,40,9.80,10.50,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
