Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,22071,11.90,11.90,0.00,0.00,-0.07,0.00,0.00,1023.00,0.00,15.00,0.00,1
L,40,14.20,11.90,0.00,-0.47,-0.05,0.00,12.29,1023.00,0.00,15.00,0.00,1
S,23556,10.40,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.20,11.90,0.00,-0.49,0.07,0.00,12.77,-243.71,0.00,15.00,0.00,1
T,20769,15.10,15.10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.50,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.70,11.90,0.00,-0.20,0.22,0.00,8.10,-734.16,0.00,15.00,0.00,1
T,40,15.30,15.10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,9.10,11.90,0.00,-0.20,0.22,0.00,9.27,-520.19,0.00,15.00,0.00,1
S,40,10.30,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,15.00,15.10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,10.50,11.90,0.00,0.04,0.07,0.00,4.06,-4.75,0.00,15.00,0.00,1
S,40,10.50,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,15.00,15.10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,15.10,15.10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.50,11.90,0.00,-0.92,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.30,11.90,0.00,-1.33,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,15.20,15.10,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.00,11.90,0.00,-1.79,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,15.10,15.10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,10.20,11.90,0.00,-1.91,-0.02,0.00,49.86,73.16,0.00,15.00,0.00,1
S,40,10.50,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,15.10,15.10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.00,11.90,0.00,-1.36,-0.02,0.00,35.54,80.03,0.00,15.00,0.00,1
T,40,15.10,15.10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,8.40,11.90,0.00,-0.91,-0.02,0.00,23.87,84.84,0.00,15.00,0.00,1
S,40,10.70,10.40,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,15.20,15.10,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.00,11.90,0.00,-0.53,-0.02,0.00,13.86,71.61,0.00,15.00,0.00,1
T,40,15.40,10.00,1.00,0.00,-0.00,1.00,26.11,7.69,0.00,15.00,0.00,1
S,40,10.50,10.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,9.90,11.90,0.00,-0.39,-0.02,0.00,10.08,62.14,0.00,15.00,0.00,1
T,40,15.10,10.00,1.00,0.00,-0.00,1.00,31.92,4.97,0.00,15.00,0.00,1
S,40,10.60,10.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.40,11.90,0.00,-0.25,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,15.10,10.00,1.00,0.00,-0.00,1.00,37.74,6.32,0.00,15.00,0.00,1
S,40,10.60,10.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.40,11.90,0.00,-0.21,-0.02,0.00,5.55,63.50,0.00,15.00,0.00,1
T,40,15.10,10.00,1.00,0.00,-0.00,1.00,43.55,2.23,0.00,15.00,0.00,1
