Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,87826,80.00,80.00,0.00,1.62,-0.05,0.00,-800.00,1023.00,0.01,15.00,0.00,1
S,87779,7.10,7.10,0.00,-0.18,-0.13,0.00,0.00,0.00,0.00,15.00,0.01,1
L,40,7.10,80.00,0.00,1.96,-0.05,0.00,-51.24,174.50,0.01,15.00,0.00,1
S,40,7.00,7.10,0.00,-0.22,-0.12,0.00,0.00,0.00,0.00,15.00,0.01,1
L,40,11.40,80.00,0.00,1.81,-0.05,0.00,-47.38,174.80,0.01,15.00,0.00,1
T,87784,7.30,7.30,0.00,-0.20,-0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.00,7.10,0.00,-0.20,-0.12,0.00,0.00,0.00,0.00,15.00,0.01,1
T,40,7.30,7.30,0.00,-0.25,-0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.90,80.00,0.00,1.50,-0.05,0.00,-39.11,183.53,0.01,15.00,0.00,1
S,40,7.50,7.10,0.00,-0.17,-0.13,0.00,0.00,0.00,0.00,15.00,0.01,1
T,40,7.40,7.30,0.00,-0.23,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,10.30,80.00,0.00,1.19,-0.05,0.00,-30.99,187.28,0.01,15.00,0.00,1
S,40,7.20,7.10,0.00,-0.12,-0.13,0.00,0.00,0.00,0.00,15.00,0.01,1
T,40,7.40,7.30,0.00,-0.16,-0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.20,80.00,0.00,0.83,-0.05,0.00,-21.55,191.84,0.01,15.00,0.00,1
S,40,7.50,7.10,0.00,-0.09,-0.13,0.00,0.00,0.00,0.00,15.00,0.01,1
T,40,7.30,7.30,0.00,-0.13,-0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,10.30,80.00,0.00,0.65,-0.05,0.00,-17.07,187.67,0.01,15.00,0.00,1
S,40,7.50,7.10,0.00,-0.08,-0.13,0.00,0.00,0.00,0.00,15.00,0.01,1
T,40,7.20,7.30,0.00,-0.09,-0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.60,80.00,0.00,0.49,-0.05,0.00,-12.83,179.05,0.00,15.00,0.00,1
S,40,7.30,7.10,0.00,-0.05,-0.13,0.00,0.00,0.00,0.00,15.00,0.01,1
T,40,7.40,7.30,0.00,-0.07,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,9.90,80.00,0.00,0.34,-0.04,0.00,-8.90,161.04,0.00,15.00,0.00,1
S,40,7.20,7.10,0.00,-0.04,-0.12,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,7.30,7.30,0.00,-0.05,-0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
