Robot;Delta_muestra;Input_d;d_ref;vel_ref;Input_vel;Input_theta;Output_d;Output_vel;Output_theta;;;;
L;150413;11.6;80;0;0;0.1;0;0;-1023;0;15;0;1
L;40;15.7;80;0;-0.3;0.09;0;7.77;-1023;0;15;0;1
S;148959;9.9;9.9;0;0;0.01;0;0;0;0;15;0;1
L;40;8.3;80;0;-0.1;-0.07;0;2.6;266.2;0;15;0;1
S;40;10.4;9.9;0;0;0.01;0;0;0;0;15;0;1
T;148410;13.1;13.1;0;0;0;0;0;0;0;15;0;1
L;40;80;80;0;0.31;-0.15;0;-7.47;438.41;0;15;0;1
S;40;10;9.9;0;0;0.01;0;0;0;0;15;0;1
L;40;7.9;80;0;-0.2;-0.12;0;3.92;250.26;0;15;0;1
T;40;13;13.1;0;0;0.01;0;0;0;0;15;0;1
S;40;10.1;9.9;0;0;0.01;0;0;0;0;15;0;1
L;40;80;80;0;-0.1;-0.09;0;2.66;202.66;0;15;0;1
T;40;13;13.1;0;0;0.01;0;0;0;0;15;0;1
S;40;10.2;9.9;0;0;0.01;0;0;0;0;15;0;1
T;40;13.1;13.1;0;0;0.01;0;0;0;0;15;0;1
L;40;9.8;80;0;-0.07;-0.06;0;2.46;163.49;0;15;0;1
S;40;10;9.9;0;0;0.01;0;0;0;0;15;0;1
L;40;11.4;80;0;0.01;-0.04;0;-0.3;138.69;0;15;0;1
T;40;13;13.1;0;0;0;0;0;0;0;15;0;1
S;40;10.2;9.9;0;0;0.01;0;0;0;0;15;0;1
L;40;80;80;0;0;-0.11;0;-0.07;368.31;0;15;0;1
T;40;13.2;13.1;0;0;0;0;0;0;0;15;0;1
S;40;10.2;9.9;0;0;0.01;0;0;0;0;15;0;1
T;40;13.1;13.1;0;0;0;0;0;0;0;15;0;1
L;40;12.7;80;0;-0.04;-0.11;0;1.01;279.27;0;15;0;1
T;40;13.2;13.1;0;0;0;0;0;0;0;15;0;1
S;40;10.1;9.9;0;0;0.01;0;0;0;0;15;0;1
L;40;9.9;80;0;-0.11;0.12;0;3.08;-550.95;0;15;0;1
S;40;9.9;9.9;0;0;0.01;0;0;0;0;15;0;1
T;40;13.3;13.1;0;0;0.01;0;0;0;0;15;0;1
L;40;8.4;80;0;-0.16;0.06;0;4.93;-37.76;0;15;0;1
S;40;10;9.9;0;0;0.01;0;0;0;0;15;0;1
T;40;13;13.1;0;0;0;0;0;0;0;15;0;1
L;40;80;80;0;-0.25;0.1;0;8.21;-272.18;0;15;0;1
S;40;10;10;0;0;0.01;0;0;0;0;15;0;1
T;40;13.1;10;1;0;0;1;26.11;-16.36;0;15;0;1
L;40;8.6;80;0;0.01;0.04;0;3;1.66;0;15;0;1
S;40;9.9;10;0;0;0.01;0;0;0;0;15;0;1
T;40;13.1;10;1;0;0;1;31.92;-6.47;0;15;0;1
L;40;80;80;0;0.1;-0.01;0;0;0;0;15;0;1
S;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
T;40;13;10;1;0;0;1;37.74;-11.01;0;15;0;1
L;40;7.8;80;0;-0.17;-0.01;0;0;0;0;15;0;1
S;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
T;40;13.1;10;1;0;0;1;43.55;-11.85;0;15;0;1
