Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,63393,63.50,63.50,0.00,0.00,0.12,0.00,0.00,-1023.00,0.00,15.00,0.00,1
T,64772,11.90,11.90,0.00,0.00,0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
S,65675,15.00,15.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,61.40,63.50,0.00,-0.34,0.11,0.00,8.79,-1023.00,0.00,15.00,0.00,1
T,40,11.80,11.90,0.00,0.00,0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,56.10,63.50,0.00,-0.18,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,11.80,11.90,0.00,0.00,0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,50.40,63.50,0.00,0.44,-0.09,0.00,-11.58,340.50,0.00,15.00,0.00,1
T,40,12.30,11.90,0.00,0.00,0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,44.90,63.50,0.00,0.73,-0.09,0.00,-19.10,314.73,0.00,15.00,0.00,1
T,40,11.80,11.90,0.00,0.00,0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.80,15.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,47.70,63.50,0.00,0.94,-0.02,0.00,-24.49,65.24,0.00,15.00,0.00,1
T,40,11.70,11.90,0.00,0.00,0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,15.10,15.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,50.70,63.50,0.00,1.11,0.08,0.00,-28.93,-301.31,0.00,15.00,0.00,1
T,40,11.50,11.90,0.00,0.00,0.06,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,14.60,15.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,54.80,63.50,0.00,1.17,0.20,0.00,-30.58,-753.60,0.00,15.00,0.00,1
