Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
S,629132,8.30,8.30,0.00,3.61,-0.02,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,8.30,8.30,0.00,4.51,-0.06,0.00,0.00,0.00,0.01,15.00,0.00,1
T,629154,12.20,12.20,0.00,2.92,0.01,0.00,0.00,0.00,0.00,15.00,0.01,1
S,40,7.50,8.30,0.00,4.15,-0.06,0.00,0.00,0.00,0.01,15.00,0.00,1
T,40,12.20,12.20,0.00,3.58,0.01,0.00,0.00,0.00,0.00,15.00,0.01,1
S,40,7.00,8.30,-1.00,3.89,-0.06,-1.00,-127.82,210.57,0.01,15.00,0.00,1
T,40,12.40,12.20,0.00,3.37,0.01,0.00,0.00,0.00,0.00,15.00,0.01,1
S,40,6.30,8.30,-1.00,1.68,0.10,-1.00,-98.37,-429.76,0.00,15.00,0.00,1
T,40,12.40,12.20,0.00,3.15,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,5.30,8.30,-1.00,1.02,0.08,-1.00,-96.86,-139.29,0.00,15.00,0.00,1
T,40,12.20,12.20,0.00,2.40,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,62.10,71.20,0.00,-12.29,-0.36,0.00,-330.04,99.02,0.00,15.00,0.00,1
L,40,52.10,71.20,0.00,-11.21,-0.19,0.00,-286.82,-674.08,0.00,15.00,0.00,1
L,40,49.60,71.20,0.00,-10.74,-0.17,0.00,-233.86,-439.58,0.00,15.00,0.00,1
S,40,4.90,8.30,-1.00,-0.15,0.05,-1.00,-78.00,-95.47,0.00,15.00,0.00,1
L,40,48.50,71.20,0.00,-10.10,-0.25,0.00,-188.13,-106.74,0.00,15.00,0.00,1
T,40,12.30,12.20,0.00,1.85,0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,51.00,71.20,0.00,-9.61,-0.22,0.00,-142.13,-275.38,0.00,15.00,0.00,1
S,40,6.30,8.30,-1.00,-0.98,0.03,-1.00,-61.21,-78.29,0.00,15.00,0.00,1
T,40,12.00,12.20,0.00,1.31,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,52.30,71.20,0.00,-8.62,-0.15,0.00,-112.12,-466.44,0.00,15.00,0.00,1
S,40,8.40,8.30,0.00,-1.35,-0.14,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,11.80,12.20,0.00,0.94,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,56.40,71.20,0.00,-7.70,-0.21,0.00,-86.05,-95.07,0.00,15.00,0.00,1
S,40,7.20,8.30,0.00,-1.07,-0.14,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,11.90,12.20,0.00,0.66,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,58.40,71.20,0.00,-6.69,-0.14,0.00,-67.76,-411.76,0.00,15.00,0.00,1
S,40,6.20,8.30,-1.00,-0.71,-0.14,-1.00,-7.48,511.52,0.00,15.00,0.00,1
T,40,12.00,12.20,0.00,0.47,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,60.40,71.20,0.00,-5.58,-0.16,0.00,-57.79,-205.43,0.00,15.00,0.00,1
S,40,4.80,8.30,-1.00,-0.49,0.04,-1.00,-15.06,-314.80,0.00,15.00,0.00,1
T,40,11.90,12.20,0.00,0.33,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,59.20,71.20,7.00,-4.62,-0.13,0.00,132.30,-324.03,0.00,15.00,0.00,1
S,40,4.30,8.30,-1.00,-0.34,0.06,-1.00,-21.93,-159.60,0.00,15.00,0.00,1
T,40,12.30,12.20,0.00,0.23,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,60.20,71.20,7.00,-3.22,-0.05,0.00,163.31,-543.10,0.00,15.00,0.00,1
S,40,3.20,8.30,5.30,-0.32,0.03,5.30,138.20,-23.47,0.00,15.00,0.00,1
T,40,12.00,12.20,0.00,0.03,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,62.10,71.20,7.00,-1.42,-0.01,0.00,175.69,-575.80,0.00,15.00,0.00,1
S,40,3.70,8.30,5.30,0.27,-0.14,5.30,155.57,553.15,0.00,15.00,0.00,1
T,40,12.00,12.20,0.00,0.04,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,41,64.70,71.20,7.00,0.53,0.01,0.00,174.69,-569.33,0.00,15.00,0.00,1
S,40,3.80,8.30,5.30,1.04,-0.08,5.30,164.67,120.64,0.00,15.00,0.00,1
T,40,12.10,12.20,0.00,0.04,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,65.20,71.20,7.00,2.25,0.01,0.00,167.40,-553.08,0.00,15.00,0.00,1
S,40,3.40,8.30,5.30,2.20,-0.01,5.30,159.17,-52.56,0.00,15.00,0.00,1
T,40,12.00,12.20,0.00,0.03,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,63.90,71.20,7.00,3.65,0.01,0.00,158.48,-563.43,0.00,15.00,0.00,1
S,40,2.70,8.30,5.30,3.27,0.01,5.30,149.13,0.40,0.00,15.00,0.00,1
T,40,12.20,12.20,0.00,0.02,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,62.90,71.20,7.00,4.73,0.01,0.00,149.70,-555.83,0.00,15.00,0.00,1
S,40,1.70,8.30,5.30,3.79,0.01,5.30,147.45,17.05,0.00,15.00,0.00,1
T,40,12.60,12.20,0.00,0.02,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,62.10,71.20,7.00,5.35,0.01,0.00,146.82,-568.58,0.00,15.00,0.00,1
S,40,2.60,8.30,5.30,3.88,0.02,5.30,153.83,-4.78,0.00,15.00,0.00,1
T,40,12.70,12.20,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,62.20,71.20,7.00,5.69,0.01,0.00,147.31,-563.42,0.00,15.00,0.00,1
S,40,3.60,8.30,5.30,3.79,0.02,5.30,164.53,-19.22,0.00,15.00,0.00,1
T,40,12.80,12.20,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,61.40,71.20,7.00,6.07,0.23,0.00,145.12,-1023.00,0.00,15.00,0.00,1
S,40,3.10,8.30,5.30,3.50,0.03,5.30,180.69,-41.05,0.00,15.00,0.00,1
T,40,12.90,12.20,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,61.70,71.20,7.00,5.97,0.01,0.00,153.24,-283.36,0.00,15.00,0.00,1
S,40,3.30,8.30,5.30,2.76,0.06,5.30,210.48,-156.37,0.00,15.00,0.00,1
T,40,12.90,12.20,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,62.30,71.20,7.00,5.53,0.01,0.00,170.60,-606.98,0.00,15.00,0.00,1
S,40,3.70,8.30,5.30,2.48,0.02,5.30,232.72,32.10,0.00,15.00,0.00,1
T,40,12.80,12.20,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,60.50,71.20,7.00,5.38,0.01,0.00,183.07,-609.59,0.00,15.00,0.00,1
S,40,4.00,8.30,5.30,2.50,0.02,5.30,248.48,-23.64,0.00,15.00,0.00,1
T,40,12.80,12.20,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,58.00,71.20,7.00,5.48,0.01,0.00,189.79,-612.22,0.00,15.00,0.00,1
S,40,4.10,8.30,5.30,2.47,0.02,5.30,265.44,-29.83,0.00,15.00,0.00,1
T,40,13.10,12.20,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,59.30,71.20,7.00,5.58,0.01,0.00,196.19,-618.52,0.00,15.00,0.00,1
S,40,4.70,8.30,5.30,2.50,0.02,5.30,281.22,-28.85,0.00,15.00,0.00,1
T,40,13.10,12.20,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,59.80,71.20,7.00,5.69,0.01,0.00,201.58,-615.70,0.00,15.00,0.00,1
S,40,5.10,8.30,5.30,2.87,0.01,5.30,287.87,-24.20,0.00,15.00,0.00,1
T,40,13.20,12.20,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,55.20,71.20,7.00,5.73,0.01,0.00,208.03,-625.58,0.00,15.00,0.00,1
S,40,5.30,8.30,5.30,4.98,0.01,5.30,246.80,-28.43,0.00,15.00,0.00,1
T,40,13.10,12.20,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,51.00,71.20,7.00,5.76,0.01,0.00,214.60,-612.59,0.00,15.00,0.00,1
S,40,5.40,8.30,5.30,3.69,0.02,5.30,282.42,-45.87,0.00,15.00,0.00,1
T,40,13.50,12.20,5.36,0.00,0.01,5.36,139.84,-39.74,0.00,15.00,0.00,1
L,40,51.40,71.20,7.00,6.40,0.01,0.00,205.04,-634.25,0.00,15.00,0.00,1
S,40,6.60,8.30,5.30,3.78,0.02,5.30,289.47,-50.10,0.00,15.00,0.00,1
T,40,13.70,12.20,6.34,0.31,0.01,6.34,188.48,-31.30,0.00,15.00,0.00,1
L,40,47.30,71.20,7.00,6.20,0.01,0.00,213.89,-621.41,0.00,15.00,0.00,1
S,40,7.10,8.30,5.30,4.35,0.02,5.30,283.42,-48.21,0.00,15.00,0.00,1
T,40,14.30,12.20,6.83,1.05,0.00,6.83,217.05,1.00,0.00,15.00,0.00,1
L,40,36.90,71.20,7.00,6.04,0.01,0.00,222.61,-614.21,0.00,15.00,0.00,1
S,40,7.40,8.30,5.30,4.44,0.02,5.30,286.46,-65.70,0.00,15.00,0.00,1
T,40,13.80,12.20,6.83,2.23,-0.00,6.83,219.76,14.91,0.00,15.00,0.00,1
L,40,80.00,71.20,7.00,5.71,0.01,0.00,236.93,-632.67,0.00,15.00,0.00,1
S,40,8.30,8.30,5.30,4.57,0.06,5.30,288.06,-216.02,0.00,15.00,0.00,1
T,40,13.80,12.20,6.83,3.36,-0.01,6.83,216.98,17.37,0.00,15.00,0.00,1
L,40,26.70,71.20,7.00,5.91,0.01,0.00,239.20,-617.61,0.00,15.00,0.00,1
S,40,8.00,8.30,5.30,4.70,0.07,5.30,288.97,-181.56,0.00,15.00,0.00,1
T,40,13.70,12.20,6.83,4.42,-0.01,6.83,209.48,26.62,0.00,15.00,0.00,1
L,40,80.00,71.20,7.00,6.11,0.01,0.00,240.32,-639.91,0.00,15.00,0.00,1
S,40,7.30,8.30,5.30,4.98,0.07,5.30,285.11,-206.38,0.00,15.00,0.00,1
T,40,13.40,12.20,6.10,5.18,-0.01,6.10,184.49,16.39,0.00,15.00,0.00,1
L,40,80.00,71.20,7.00,6.34,0.01,0.00,239.57,-640.70,0.00,15.00,0.00,1
S,40,6.50,8.30,5.30,5.21,0.08,5.30,280.96,-223.53,0.00,15.00,0.00,1
T,40,13.40,12.20,6.24,5.58,-0.01,6.24,183.04,33.87,0.00,15.00,0.00,1
L,40,27.50,71.20,7.00,6.58,0.01,0.00,237.02,-643.97,0.00,15.00,0.00,1
S,40,6.50,8.30,5.30,5.58,0.08,5.30,271.88,-238.83,0.00,15.00,0.00,1
T,40,13.30,12.20,5.97,5.70,-0.01,5.97,176.88,34.23,0.00,15.00,0.00,1
L,40,31.80,71.20,7.00,6.95,0.01,0.00,229.87,-629.50,0.00,15.00,0.00,1
S,40,6.70,8.30,5.30,5.88,0.08,5.30,262.28,-263.68,0.00,15.00,0.00,1
T,40,13.30,12.20,6.10,5.71,-0.01,6.10,181.64,19.82,0.00,15.00,0.00,1
L,40,33.50,71.20,7.00,7.25,0.01,0.00,222.28,-627.55,0.00,15.00,0.00,1
S,40,7.80,8.30,5.30,6.23,0.09,5.30,249.94,-285.99,0.00,15.00,0.00,1
T,40,12.90,12.20,4.59,5.64,-0.01,4.59,146.22,38.59,0.00,15.00,0.00,1
L,40,35.30,71.20,7.00,7.43,0.01,0.00,216.19,-641.97,0.00,15.00,0.00,1
S,40,8.90,8.30,5.30,6.21,0.09,5.30,244.98,-301.67,0.00,15.00,0.00,1
T,40,12.70,12.20,3.85,5.54,-0.01,3.85,123.38,30.60,0.00,15.00,0.00,1
L,40,43.40,71.20,7.00,7.48,0.01,0.00,212.21,-649.42,0.00,15.00,0.00,1
S,40,10.10,8.30,5.30,6.31,0.13,5.30,237.00,-461.06,0.00,15.00,0.00,1
T,40,12.90,12.20,4.73,3.93,-0.01,4.73,178.64,18.45,0.00,15.00,0.00,1
L,40,39.30,71.20,7.00,7.91,0.00,0.00,198.37,-610.80,0.00,15.00,0.00,1
S,40,11.20,8.30,5.30,6.57,0.07,5.30,224.40,-233.69,0.00,15.00,0.00,1
T,40,13.00,12.20,5.23,4.50,-0.01,5.23,181.38,21.80,0.00,15.00,0.00,1
L,40,37.70,71.20,7.00,8.24,-0.00,0.00,184.38,-603.38,0.00,15.00,0.00,1
S,40,7.30,8.30,5.30,7.30,-0.01,5.30,197.99,-25.75,0.00,15.00,0.00,1
T,40,13.30,12.20,6.56,5.04,-0.01,6.56,206.28,25.02,0.00,15.00,0.00,1
L,40,35.10,71.20,7.00,7.97,0.03,0.00,184.37,-731.49,0.00,15.00,0.00,1
S,40,7.50,8.30,5.30,6.79,-0.02,5.30,199.71,-91.75,0.00,15.00,0.00,1
T,40,13.20,12.20,6.28,5.12,-0.00,6.28,205.62,21.25,0.00,15.00,0.00,1
L,40,47.50,71.20,7.00,7.83,-0.01,0.00,182.23,-546.74,0.00,15.00,0.00,1
S,40,7.80,8.30,5.30,5.39,-0.06,5.30,227.56,49.23,0.00,15.00,0.00,1
T,40,13.00,12.20,5.58,5.44,-0.00,5.58,185.80,17.61,0.00,15.00,0.00,1
L,40,48.00,71.20,7.00,7.87,-0.01,0.00,176.29,-608.04,0.00,15.00,0.00,1
S,40,8.20,8.30,5.30,4.24,-0.07,5.30,257.07,14.81,0.00,15.00,0.00,1
T,40,12.60,12.20,4.02,5.63,-0.00,4.02,141.07,15.97,0.00,15.00,0.00,1
L,40,50.40,71.20,7.00,7.51,-0.09,0.00,180.85,-294.37,0.00,15.00,0.00,1
S,40,8.20,8.30,5.30,3.28,-0.07,5.30,288.22,16.07,0.00,15.00,0.00,1
T,40,12.60,12.20,4.07,5.52,0.00,4.07,135.80,6.44,0.00,15.00,0.00,1
L,40,51.70,71.20,7.00,7.77,0.02,0.00,170.98,-813.53,0.00,15.00,0.00,1
S,40,8.20,8.30,5.30,2.40,-0.07,5.30,322.95,33.90,0.00,15.00,0.00,1
T,40,12.60,12.20,4.12,5.19,0.00,4.12,137.20,3.81,0.00,15.00,0.00,1
L,40,58.40,71.20,7.00,7.47,0.02,0.00,174.46,-660.81,0.00,15.00,0.00,1
S,40,8.10,8.30,5.30,1.81,-0.07,5.30,355.29,46.42,0.00,15.00,0.00,1
T,40,12.00,12.20,3.77,4.86,0.01,3.77,130.61,1.81,0.00,15.00,0.00,1
L,40,46.70,71.20,7.00,7.34,0.02,0.00,175.00,-650.38,0.00,15.00,0.00,1
S,40,8.20,8.30,5.30,1.60,-0.07,5.30,380.96,57.45,0.00,15.00,0.00,1
T,40,12.60,12.20,4.14,4.47,0.01,4.14,144.18,1.60,0.00,15.00,0.00,1
L,40,52.10,71.20,7.00,7.34,0.02,0.00,173.16,-646.99,0.00,15.00,0.00,1
