Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta
L,39569,80.00,80.00,0.00,4.07,0.02,0.00,-800.00,-1023.00,0.02,15.00,0.00,1
L,40,80.00,80.00,0.00,1.76,0.01,0.00,0.00,0.00,0.02,15.00,0.00,1
L,40,80.00,80.00,0.00,4.22,0.01,0.00,0.00,0.00,0.02,15.00,0.00,1
T,39632,9.40,9.40,0.00,3.86,0.08,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,9.70,9.70,0.00,4.34,0.07,0.00,0.00,0.00,0.00,15.00,0.02,1
L,40,79.40,80.00,0.00,3.04,0.01,0.00,0.00,0.00,0.02,15.00,0.00,1
T,40,9.30,9.40,0.00,4.46,0.12,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,9.40,9.70,0.00,2.65,0.07,0.00,0.00,0.00,0.00,15.00,0.02,1
L,40,78.10,80.00,0.00,1.58,0.01,0.00,0.00,0.00,0.02,15.00,0.00,1
T,40,9.30,9.40,0.00,2.91,0.07,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,9.50,9.70,0.00,1.56,0.07,0.00,0.00,0.00,0.00,15.00,0.02,1
L,40,79.50,80.00,0.00,0.74,0.01,0.00,0.00,0.00,0.02,15.00,0.00,1
T,40,9.40,9.40,0.00,1.60,0.08,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,9.70,9.70,0.00,0.80,0.07,0.00,0.00,0.00,0.00,15.00,0.02,1
S,40,9.40,9.70,0.00,0.58,0.07,0.00,0.00,0.00,0.00,15.00,0.02,1
T,40,9.20,9.40,0.00,0.82,0.11,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,9.70,9.70,0.00,0.42,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.30,80.00,0.00,0.19,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.40,9.40,0.00,0.41,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.22,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.50,80.00,0.00,0.09,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.20,9.40,0.00,0.21,0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.04,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,78.70,80.00,0.00,0.04,0.07,0.00,-1.13,-246.99,0.00,15.00,0.00,1
T,40,9.20,9.40,0.00,0.11,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.60,9.70,0.00,0.03,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.20,80.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.20,9.40,0.00,0.05,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.02,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.90,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.40,9.40,0.00,0.03,0.04,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.50,9.70,0.00,0.01,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.01,0.04,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.01,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.50,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.20,9.40,0.00,0.01,0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.20,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,76.50,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.50,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.40,9.40,0.00,0.00,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.30,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.30,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.50,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.20,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.90,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,78.70,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,41,9.10,9.40,0.00,0.00,0.08,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.30,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.20,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.50,9.40,0.00,0.00,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.20,9.40,0.00,0.00,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.60,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.50,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,78.90,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.40,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.70,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.00,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.30,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.50,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.70,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.70,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.10,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.50,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.60,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.70,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.80,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
T,41,9.40,9.40,0.00,0.00,0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,79.60,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.40,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,9.30,9.40,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,80.00,80.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.50,9.70,0.00,0.00,0.07,0.00,0.00,0.00,0.00,15.00,0.00,1
